,date,time,temp,dewpoint,humidity,wind,windspeed,windgust,pressurre,precip,condit
90,2019-01-02,10:20 PM,41 °F,34 °F,76 %,NW,6 mph,0 mph,30.57 in,0.0 in,Fair
91,2019-01-02,10:50 PM,39 °F,34 °F,81 %,NW,5 mph,0 mph,30.57 in,0.0 in,Fair
92,2019-01-02,11:20 PM,39 °F,34 °F,81 %,NW,6 mph,0 mph,30.54 in,0.0 in,Fair
93,2019-01-02,11:50 PM,39 °F,34 °F,81 %,NW,5 mph,0 mph,30.54 in,0.0 in,Fair
94,2019-01-02,12:20 AM,39 °F,36 °F,87 %,NW,6 mph,0 mph,30.54 in,0.0 in,Fair
95,2019-01-02,12:50 AM,39 °F,36 °F,87 %,NW,6 mph,0 mph,30.54 in,0.0 in,Fair
96,2019-01-03,1:20 AM,39 °F,36 °F,87 %,NW,5 mph,0 mph,30.54 in,0.0 in,Fair
97,2019-01-03,1:50 AM,39 °F,36 °F,87 %,NW,3 mph,0 mph,30.54 in,0.0 in,Mostly Cloudy
98,2019-01-03,2:20 AM,39 °F,36 °F,87 %,NW,5 mph,0 mph,30.54 in,0.0 in,Mostly Cloudy
99,2019-01-03,2:50 AM,39 °F,36 °F,87 %,WNW,5 mph,0 mph,30.57 in,0.0 in,Mostly Cloudy
100,2019-01-03,3:20 AM,39 °F,36 °F,87 %,WNW,6 mph,0 mph,30.57 in,0.0 in,Fair
101,2019-01-03,3:50 AM,39 °F,36 °F,87 %,WNW,5 mph,0 mph,30.57 in,0.0 in,Fair
102,2019-01-03,4:20 AM,39 °F,36 °F,87 %,NW,6 mph,0 mph,30.57 in,0.0 in,Fair
103,2019-01-03,4:50 AM,39 °F,36 °F,87 %,NW,6 mph,0 mph,30.57 in,0.0 in,Mostly Cloudy
104,2019-01-03,5:20 AM,39 °F,36 °F,87 %,WNW,5 mph,0 mph,30.57 in,0.0 in,Fair
105,2019-01-03,5:50 AM,39 °F,36 °F,87 %,WNW,5 mph,0 mph,30.57 in,0.0 in,Fair
106,2019-01-03,6:20 AM,39 °F,36 °F,87 %,WNW,5 mph,0 mph,30.54 in,0.0 in,Fair
107,2019-01-03,6:50 AM,39 °F,34 °F,81 %,WNW,6 mph,0 mph,30.54 in,0.0 in,Partly Cloudy
108,2019-01-03,7:20 AM,39 °F,36 °F,87 %,NW,6 mph,0 mph,30.54 in,0.0 in,Fair
109,2019-01-03,7:50 AM,39 °F,36 °F,87 %,NW,6 mph,0 mph,30.54 in,0.0 in,Mostly Cloudy
